,MovieTitle,chg_ON,chg_ON_abs
2009-11-27,シークレット・ウインドウ,0.005687093779015891,0.005687093779015891
2009-12-04,カーズ,0.022363491883301157,0.022363491883301157
2009-12-11,シャンハイ・ナイト,0.0066523847107904325,0.0066523847107904325
2009-12-18,マリと子犬の物語,0.00678984861976847,0.00678984861976847
2009-12-25,ラストサムライ,0.0023001095290252787,0.0023001095290252787
2010-01-08,もののけ姫,-0.012542881646655249,0.012542881646655249
2010-01-15,プラダを着た悪魔,-0.0010993843447668682,0.0010993843447668682
2010-01-22,天使にラブ・ソングを・・・,-0.004533893619374221,0.004533893619374221
2010-01-29,エラゴン遺志を継ぐ者,0.0006652622241933948,0.0006652622241933948
2010-02-05,崖の上のポニョ,-0.002680965147453026,0.002680965147453026
2010-02-12,ルパン三世theLastJob,0.00011103708638675222,0.00011103708638675222
2010-02-19,風の谷のナウシカ,-0.003588516746411465,0.003588516746411465
2010-02-26,ファンタスティック・フォー：銀河の危機,-0.005372733378106156,0.005372733378106156
2010-03-19,スパイダーマン3,-0.0018782454977350756,0.0018782454977350756
2010-03-26,ディープ・インパクト,-0.0026980358299158215,0.0026980358299158215
2010-04-02,天使にラブ・ソングを2,0.006279936136242718,0.006279936136242718
2010-04-09,ALWAYS三丁目の夕日,-0.004385026737967878,0.004385026737967878
2010-04-16,名探偵コナン漆黒の追跡者,-0.007126660187884641,0.007126660187884641
2010-04-23,ヤッターマン,0.008782264110527934,0.008782264110527934
2010-04-30,旭山動物園物語〜ペンギンが空をとぶ〜,-0.0031853896793375596,0.0031853896793375596
2010-05-07,スター・ウォーズエピソード1／ファントム・メナス,0.0007597959405189124,0.0007597959405189124
2010-05-14,ゴーストライダー,-0.005067931852490822,0.005067931852490822
2010-05-21,フライトプラン,0.003226165313160599,0.003226165313160599
2010-05-28,陰日向に咲く,-0.0009855453350852957,0.0009855453350852957
2010-06-11,エボリューション,0.0006550933508025141,0.0006550933508025141
2010-06-18,デジャヴ,-0.0015435501653803811,0.0015435501653803811
2010-06-25,ラッシュアワー3,-0.004237288135593328,0.004237288135593328
2010-07-02,紅の豚,-0.0019333560786989844,0.0019333560786989844
2010-07-09,耳をすませば,0.004295726882206757,0.004295726882206757
2010-07-16,ハウルの動く城,-0.005387436955524976,0.005387436955524976
2010-07-23,となりのトトロ,0.00828062104657848,0.00828062104657848
2010-07-30,ポセイドン,0.0017367141368529752,0.0017367141368529752
2010-08-06,サマーウォーズ,-0.008594657375145122,0.008594657375145122
2010-08-13,20世紀少年＜第1章＞終わりの始まり,0.0005818689631094746,0.0005818689631094746
2010-08-20,20世紀少年＜第2章＞最後の希望,0.0025776215582893835,0.0025776215582893835
2010-08-27,20世紀少年＜最終章＞ぼくらの旗,0.011103236475312991,0.011103236475312991
2010-09-10,バンテージ・ポイント,0.003693114129139889,0.003693114129139889
2010-09-17,アルマゲドン,-0.0010487065951991284,0.0010487065951991284
2010-09-24,ディープ・ブルー,-0.004485893046865724,0.004485893046865724
2010-10-01,252生存者あり,0.00023998080153582937,0.00023998080153582937
2010-10-08,ルパン三世カリオストロの城,-0.001213592233009812,0.001213592233009812
2010-10-15,カイジ人生逆転ゲーム,0.0009844942160964593,0.0009844942160964593
2010-10-22,猫の恩返し,0.0016015769372920469,0.0016015769372920469
2010-10-29,ハリー・ポッターと賢者の石,-0.003966286564204355,0.003966286564204355
2010-11-12,トワイライト,0.0076960664549229835,0.0076960664549229835
2010-11-19,ハリー・ポッターと不死鳥の騎士団,0.0021606049693913406,0.0021606049693913406
2010-11-26,ゴーストニューヨークの幻,0.003217733285663333,0.003217733285663333
2010-12-03,魔法にかけられて,-0.010280932456664667,0.010280932456664667
2010-12-10,シュレック3,0.0031052191568134587,0.0031052191568134587
2010-12-17,オペラ座の怪人,0.0010723221732394756,0.0010723221732394756
2010-12-24,THISISIT,-0.00012052549114143807,0.00012052549114143807
2011-01-07,千と千尋の神隠し,-0.009103977000479218,0.009103977000479218
2011-01-14,ハンコック,0.004847897224578735,0.004847897224578735
2011-01-21,DEATHNOTEデスノート,-0.002053636143996155,0.002053636143996155
2011-01-28,DEATHNOTEデスノートtheLastname,-0.006533575317604431,0.006533575317604431
2011-02-04,プリティ・ウーマン,0.007720588235294237,0.007720588235294237
2011-02-11,沈まぬ太陽,,
2011-02-25,ナルニア国物語／第2章：カスピアン王子の角笛,-0.002321886838567735,0.002321886838567735
2011-03-04,トゥームレイダー2,-0.0006067224851352646,0.0006067224851352646
2011-03-18,ごくせんTHEMOVIE,-0.005752753977968162,0.005752753977968162
2011-03-25,築地魚河岸三代目,0.007284849981479238,0.007284849981479238
2011-04-01,なくもんか,0.006095374686267541,0.006095374686267541
2011-04-08,スパイダーマン,-0.001173158141717437,0.001173158141717437
2011-04-15,名探偵コナン天空の難破船（ロスト・シップ）,0.0007226303745634381,0.0007226303745634381
2011-04-22,ANOTHERGANTZ,0.0006098304671302765,0.0006098304671302765
2011-04-29,ルパン三世DEADORALIVE,,
2011-05-06,スター・ウォーズエピソード3／シスの復讐,0.004725780375575297,0.004725780375575297
2011-05-13,幸せのちから,0.002483854942871372,0.002483854942871372
2011-05-20,チャーリーとチョコレート工場,0.0004900759617739775,0.0004900759617739775
2011-05-27,地球が静止する日,-0.0014816644030125985,0.0014816644030125985
2011-06-10,幸せのレシピ,0.0033712073916843054,0.0033712073916843054
2011-06-17,ブタがいた教室,-0.004099888184867665,0.004099888184867665
2011-06-24,マトリックス,-0.0013651030032266,0.0013651030032266
2011-07-01,もののけ姫,0.000618965090368868,0.000618965090368868
2011-07-08,魔女の宅急便,-0.008114089009097573,0.008114089009097573
